candidate_query,normalized_intent,body_area,symptom,situation,timing,closest_existing_url,closest_existing_topic,overlap_risk,unique_intent,medical_value,commercial_relevance,funnel_target_url,red_flag_sensitivity,recommended_action,priority,notes
Was bedeutet es wenn augenlid zuckt seit Tagen?,augenlid: zuckt seit tagen,Augenlid,zuckt,seit Tagen,,/beschwerden/stress-burnout/,Stress & Burnout,low,no,medium,medium,/beschwerden/stress-burnout/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn augenlid zuckt bei Müdigkeit?,augenlid: zuckt bei müdigkeit,Augenlid,zuckt,bei Müdigkeit,,/beschwerden/stress-burnout/,Stress & Burnout,low,no,medium,medium,/beschwerden/stress-burnout/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn augenlid zuckt bei Stress?,augenlid: zuckt bei stress,Augenlid,zuckt,bei Stress,,/beschwerden/stress-burnout/,Stress & Burnout,low,no,medium,medium,/beschwerden/stress-burnout/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn augenlid zuckt immer wieder?,augenlid: zuckt immer wieder,Augenlid,zuckt,immer wieder,,/beschwerden/stress-burnout/,Stress & Burnout,low,no,medium,medium,/beschwerden/stress-burnout/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn augenlid zuckt seit Tagen?,augenlid: zuckt seit tagen,Augenlid,zuckt,seit Tagen,,/beschwerden/stress-burnout/,Stress & Burnout,low,no,medium,medium,/beschwerden/stress-burnout/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Augenringe fallen auf trotz Schlaf,augenringe: fallen auf trotz schlaf,Augenringe,fallen auf,trotz Schlaf,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,high,no,medium,medium,/beschwerden/eisenmangel/,none,REJECT_CANNIBALIZATION,reject,/haut/augenringe/ besitzt den Intent bereits.
Warum augenringe fallen auf dunkler werdend?,augenringe: fallen auf dunkler werdend,Augenringe,fallen auf,dunkler werdend,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum augenringe fallen auf seit Monaten?,augenringe: fallen auf seit monaten,Augenringe,fallen auf,seit Monaten,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum augenringe fallen auf trotz Schlaf?,augenringe: fallen auf trotz schlaf,Augenringe,fallen auf,trotz Schlaf,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn augenringe fallen auf dunkler werdend?,augenringe: fallen auf dunkler werdend,Augenringe,fallen auf,dunkler werdend,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn augenringe fallen auf seit Monaten?,augenringe: fallen auf seit monaten,Augenringe,fallen auf,seit Monaten,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn augenringe fallen auf trotz Schlaf?,augenringe: fallen auf trotz schlaf,Augenringe,fallen auf,trotz Schlaf,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn augenringe fallen auf dunkler werdend?,augenringe: fallen auf dunkler werdend,Augenringe,fallen auf,dunkler werdend,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn augenringe fallen auf seit Monaten?,augenringe: fallen auf seit monaten,Augenringe,fallen auf,seit Monaten,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn augenringe fallen auf trotz Schlaf?,augenringe: fallen auf trotz schlaf,Augenringe,fallen auf,trotz Schlaf,,/beschwerden/eisenmangel/,Eisenmangel – TCM-Begleitung,medium,no,medium,medium,/beschwerden/eisenmangel/,none,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Bauch gluckert nach dem Essen,bauch: gluckert nach dem essen,Bauch,gluckert,nach dem Essen,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bauch gluckert nachts,bauch: gluckert nachts,Bauch,gluckert,nachts,nachts,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bauch gluckert ständig,bauch: gluckert ständig,Bauch,gluckert,ständig,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bauch ist aufgebläht abends,bauch: ist aufgebläht abends,Bauch,ist aufgebläht,abends,abends,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bauch ist aufgebläht nach dem Essen,bauch: ist aufgebläht nach dem essen,Bauch,ist aufgebläht,nach dem Essen,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bauch ist aufgebläht schon morgens,bauch: ist aufgebläht schon morgens,Bauch,ist aufgebläht,schon morgens,morgens,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch gluckert nach dem Essen?,bauch: gluckert nach dem essen,Bauch,gluckert,nach dem Essen,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch gluckert nachts?,bauch: gluckert nachts,Bauch,gluckert,nachts,nachts,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch gluckert ständig?,bauch: gluckert ständig,Bauch,gluckert,ständig,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch ist aufgebläht abends?,bauch: ist aufgebläht abends,Bauch,ist aufgebläht,abends,abends,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch ist aufgebläht nach dem Essen?,bauch: ist aufgebläht nach dem essen,Bauch,ist aufgebläht,nach dem Essen,,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bauch ist aufgebläht schon morgens?,bauch: ist aufgebläht schon morgens,Bauch,ist aufgebläht,schon morgens,morgens,/beschwerden/blaehungen/,Blähungen,high,no,medium,low,/beschwerden/blaehungen/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/blaehungen/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bein kribbelt beim Liegen,bein: kribbelt beim liegen,Bein,kribbelt,beim Liegen,,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bein kribbelt nachts,bein: kribbelt nachts,Bein,kribbelt,nachts,nachts,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Bein kribbelt vom Gesäss abwärts,bein: kribbelt vom gesäss abwärts,Bein,kribbelt,vom Gesäss abwärts,,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bein kribbelt beim Liegen?,bein: kribbelt beim liegen,Bein,kribbelt,beim Liegen,,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bein kribbelt nachts?,bein: kribbelt nachts,Bein,kribbelt,nachts,nachts,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bein kribbelt vom Gesäss abwärts?,bein: kribbelt vom gesäss abwärts,Bein,kribbelt,vom Gesäss abwärts,,/beschwerden/ischias/,Ischias,high,no,medium,low,/beschwerden/ischias/,medium,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/ischias/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum bein wird taub beim Schneidersitz?,bein: wird taub beim schneidersitz,Bein,wird taub,beim Schneidersitz,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum bein wird taub beim Sitzen auf der Toilette?,bein: wird taub beim sitzen auf der toilette,Bein,wird taub,beim Sitzen auf der Toilette,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Warum bein wird taub beim Sitzen?,bein: wird taub beim sitzen,Bein,wird taub,beim Sitzen,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Muster-Intent plausibel eigenständig; manuell prüfen. (Frageform-Variante — gleiche Intent-Gruppe, KEINE eigene Seite.)"
Was bedeutet es wenn bein wird taub beim Schneidersitz?,bein: wird taub beim schneidersitz,Bein,wird taub,beim Schneidersitz,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn bein wird taub beim Sitzen auf der Toilette?,bein: wird taub beim sitzen auf der toilette,Bein,wird taub,beim Sitzen auf der Toilette,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn bein wird taub beim Sitzen?,bein: wird taub beim sitzen,Bein,wird taub,beim Sitzen,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn bein wird taub beim Schneidersitz?,bein: wird taub beim schneidersitz,Bein,wird taub,beim Schneidersitz,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn bein wird taub beim Sitzen auf der Toilette?,bein: wird taub beim sitzen auf der toilette,Bein,wird taub,beim Sitzen auf der Toilette,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Was tun wenn bein wird taub beim Sitzen?,bein: wird taub beim sitzen,Bein,wird taub,beim Sitzen,,/beschwerden/ischias/,Ischias,low,no,medium,medium,/beschwerden/ischias/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie Grundform, KEINE eigene Seite."
Beine sind unruhig abends auf dem Sofa,beine: sind unruhig abends auf dem sofa,Beine,sind unruhig,abends auf dem Sofa,abends,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Beine sind unruhig beim Einschlafen,beine: sind unruhig beim einschlafen,Beine,sind unruhig,beim Einschlafen,,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Beine sind unruhig im Kino,beine: sind unruhig im kino,Beine,sind unruhig,im Kino,,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum beine sind unruhig abends auf dem Sofa?,beine: sind unruhig abends auf dem sofa,Beine,sind unruhig,abends auf dem Sofa,abends,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum beine sind unruhig beim Einschlafen?,beine: sind unruhig beim einschlafen,Beine,sind unruhig,beim Einschlafen,,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum beine sind unruhig im Kino?,beine: sind unruhig im kino,Beine,sind unruhig,im Kino,,/beschwerden/restless-legs/,Restless Legs,high,no,medium,low,/beschwerden/restless-legs/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/restless-legs/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Blase drückt direkt nach dem Wasserlassen,blase: drückt direkt nach dem wasserlassen,Blase,drückt,direkt nach dem Wasserlassen,,/beschwerden/reizblase/,Reizblase,high,no,medium,low,/beschwerden/reizblase/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/reizblase/ abgedeckt.
Blase drückt nachts mehrmals,blase: drückt nachts mehrmals,Blase,drückt,nachts mehrmals,nachts,/beschwerden/reizblase/,Reizblase,high,no,medium,low,/beschwerden/reizblase/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/reizblase/ abgedeckt.
Blase drückt ständig,blase: drückt ständig,Blase,drückt,ständig,,/beschwerden/reizblase/,Reizblase,high,no,medium,low,/beschwerden/reizblase/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/reizblase/ abgedeckt.
Brust schmerzt bei Belastung,brust: schmerzt bei belastung,Brust,schmerzt,bei Belastung,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REJECT_MEDICAL_RISK,reject,"Potenziell gefährliches Leitsymptom — gehört primär in ärztliche Abklärung, nicht in TCM-Lead-Gen."
Brust schmerzt beim Atmen,brust: schmerzt beim atmen,Brust,schmerzt,beim Atmen,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REJECT_MEDICAL_RISK,reject,"Potenziell gefährliches Leitsymptom — gehört primär in ärztliche Abklärung, nicht in TCM-Lead-Gen."
Brustkorb fühlt sich eng an bei Stress,brustkorb: fühlt sich eng an bei stress,Brustkorb,fühlt sich eng an,bei Stress,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REJECT_MEDICAL_RISK,reject,"Potenziell gefährliches Leitsymptom — gehört primär in ärztliche Abklärung, nicht in TCM-Lead-Gen."
Brustkorb fühlt sich eng an beim tiefen Einatmen,brustkorb: fühlt sich eng an beim tiefen einatmen,Brustkorb,fühlt sich eng an,beim tiefen Einatmen,,/beschwerden/angststoerungen/,Angststörungen,low,yes,medium,medium,/beschwerden/angststoerungen/,high,REJECT_MEDICAL_RISK,reject,"Potenziell gefährliches Leitsymptom — gehört primär in ärztliche Abklärung, nicht in TCM-Lead-Gen."
Daumen schmerzt am Handy,daumen: schmerzt am handy,Daumen,schmerzt,am Handy,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/rhizarthrose/ abgedeckt.
Daumen schmerzt beim Greifen,daumen: schmerzt beim greifen,Daumen,schmerzt,beim Greifen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/rhizarthrose/ abgedeckt.
Daumen schmerzt beim Öffnen von Flaschen,daumen: schmerzt beim öffnen von flaschen,Daumen,schmerzt,beim Öffnen von Flaschen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/rhizarthrose/ abgedeckt.
Daumen sticht am Handy,daumen: schmerzt am handy,Daumen,sticht,am Handy,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Daumen sticht beim Greifen,daumen: schmerzt beim greifen,Daumen,sticht,beim Greifen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Daumen sticht beim Öffnen von Flaschen,daumen: schmerzt beim öffnen von flaschen,Daumen,sticht,beim Öffnen von Flaschen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Daumen zieht am Handy,daumen: schmerzt am handy,Daumen,zieht,am Handy,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Daumen zieht beim Greifen,daumen: schmerzt beim greifen,Daumen,zieht,beim Greifen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Daumen zieht beim Öffnen von Flaschen,daumen: schmerzt beim öffnen von flaschen,Daumen,zieht,beim Öffnen von Flaschen,,/beschwerden/rhizarthrose/,Rhizarthrose,high,no,medium,low,/beschwerden/rhizarthrose/,none,REJECT_CANNIBALIZATION,reject,"Empfindungs-Synonym — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum druck sitzt im Ohr beim Bücken?,druck: sitzt im ohr beim bücken,Druck,sitzt im Ohr,beim Bücken,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum druck sitzt im Ohr beim Fliegen dauerhaft?,druck: sitzt im ohr beim fliegen dauerhaft,Druck,sitzt im Ohr,beim Fliegen dauerhaft,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Warum druck sitzt im Ohr seit der Erkältung?,druck: sitzt im ohr seit der erkältung,Druck,sitzt im Ohr,seit der Erkältung,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn druck sitzt im Ohr beim Bücken?,druck: sitzt im ohr beim bücken,Druck,sitzt im Ohr,beim Bücken,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn druck sitzt im Ohr beim Fliegen dauerhaft?,druck: sitzt im ohr beim fliegen dauerhaft,Druck,sitzt im Ohr,beim Fliegen dauerhaft,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was bedeutet es wenn druck sitzt im Ohr seit der Erkältung?,druck: sitzt im ohr seit der erkältung,Druck,sitzt im Ohr,seit der Erkältung,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn druck sitzt im Ohr beim Bücken?,druck: sitzt im ohr beim bücken,Druck,sitzt im Ohr,beim Bücken,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn druck sitzt im Ohr beim Fliegen dauerhaft?,druck: sitzt im ohr beim fliegen dauerhaft,Druck,sitzt im Ohr,beim Fliegen dauerhaft,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Was tun wenn druck sitzt im Ohr seit der Erkältung?,druck: sitzt im ohr seit der erkältung,Druck,sitzt im Ohr,seit der Erkältung,,/beschwerden/hoersturz/,Hörsturz,medium,no,medium,medium,/beschwerden/hoersturz/,medium,MERGE_INTO_EXISTING,reject,"Frageform-Variante — gleiche Intent-Gruppe wie die Grundform, keine eigene Seite."
Einschlafen fällt schwer trotz Müdigkeit,einschlafen: fällt schwer trotz müdigkeit,Einschlafen,fällt schwer,trotz Müdigkeit,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Einschlafen fällt schwer wegen Gedankenkreisen,einschlafen: fällt schwer wegen gedankenkreisen,Einschlafen,fällt schwer,wegen Gedankenkreisen,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Einschlafen fällt schwer wegen unruhiger Beine,einschlafen: fällt schwer wegen unruhiger beine,Einschlafen,fällt schwer,wegen unruhiger Beine,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum einschlafen fällt schwer trotz Müdigkeit?,einschlafen: fällt schwer trotz müdigkeit,Einschlafen,fällt schwer,trotz Müdigkeit,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum einschlafen fällt schwer wegen Gedankenkreisen?,einschlafen: fällt schwer wegen gedankenkreisen,Einschlafen,fällt schwer,wegen Gedankenkreisen,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
Warum einschlafen fällt schwer wegen unruhiger Beine?,einschlafen: fällt schwer wegen unruhiger beine,Einschlafen,fällt schwer,wegen unruhiger Beine,,/beschwerden/schlafprobleme/,Schlafprobleme,high,no,medium,low,/beschwerden/schlafprobleme/,none,REJECT_CANNIBALIZATION,reject,Kernintent bereits von /beschwerden/schlafprobleme/ abgedeckt; Situations-Modifier ändert den Suchintent nicht substanziell.
